year,title,url,filename,extension,is_annex_xlsx
2018,Viana do Castelo,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Viana do Castelo 2018 30d.pdf,Viana do Castelo 2018 30d.pdf,pdf,False
2018,Vila Real,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Vila Real 2018 30d.pdf,Vila Real 2018 30d.pdf,pdf,False
2018,Viseu,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Viseu 2018 30d.pdf,Viseu 2018 30d.pdf,pdf,False
2018,Relatório Anual Sinistralidade Rodoviária 2018 - 30 dias,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Relatório Anual Sinistralidade Rodoviária 2018 - 30 dias.pdf,Relatório Anual Sinistralidade Rodoviária 2018 - 30 dias.pdf,pdf,False
2017,Aveiro,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Aveiro 2017 24h.pdf,Aveiro 2017 24h.pdf,pdf,False
2017,Beja,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Beja 2017 24h.pdf,Beja 2017 24h.pdf,pdf,False
2017,Braga,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Braga 2017 24h.pdf,Braga 2017 24h.pdf,pdf,False
2017,Bragança,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Bragança 2017 24h.pdf,Bragança 2017 24h.pdf,pdf,False
2017,Castelo Branco,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Castelo Branco 2017 24h.pdf,Castelo Branco 2017 24h.pdf,pdf,False
2017,Coimbra,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Coimbra 2017 24h.pdf,Coimbra 2017 24h.pdf,pdf,False
2017,Évora,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Évora 2017 24h.pdf,Évora 2017 24h.pdf,pdf,False
2017,Faro,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Faro 2017 24h.pdf,Faro 2017 24h.pdf,pdf,False
2017,Guarda,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Guarda 2017 24h.pdf,Guarda 2017 24h.pdf,pdf,False
2017,Leiria,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Leiria 2017 24h.pdf,Leiria 2017 24h.pdf,pdf,False
2017,Lisboa,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Lisboa 2017 24h.pdf,Lisboa 2017 24h.pdf,pdf,False
2017,Portalegre,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Portalegre 2017 24h.pdf,Portalegre 2017 24h.pdf,pdf,False
2017,Porto,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Porto 2017 24h.pdf,Porto 2017 24h.pdf,pdf,False
2017,Santarém,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Santarém 2017 24h.pdf,Santarém 2017 24h.pdf,pdf,False
2017,Setúbal,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Setúbal 2017 24h.pdf,Setúbal 2017 24h.pdf,pdf,False
2017,Viana do Castelo,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Viana do Castelo 2017 24h.pdf,Viana do Castelo 2017 24h.pdf,pdf,False
2017,Vila Real,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Vila Real 2017 24h.pdf,Vila Real 2017 24h.pdf,pdf,False
2017,Viseu,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Viseu 2017 24h.pdf,Viseu 2017 24h.pdf,pdf,False
2017,Relatório Anual Sinistralidade Rodoviária 2017 24horas,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Relatório Anual Sinistralidade Rodoviária 2017 - 24horas.pdf,Relatório Anual Sinistralidade Rodoviária 2017 - 24horas.pdf,pdf,False
2017,Aveiro,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Aveiro.pdf,Aveiro.pdf,pdf,False
2017,Beja,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Beja.pdf,Beja.pdf,pdf,False
2017,Braga,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Braga.pdf,Braga.pdf,pdf,False
2017,Bragança,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Bragança.pdf,Bragança.pdf,pdf,False
2017,Castelo Branco,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Castelo Branco.pdf,Castelo Branco.pdf,pdf,False
2017,Coimbra,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Coimbra.pdf,Coimbra.pdf,pdf,False
2017,Évora,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Évora.pdf,Évora.pdf,pdf,False
2017,Faro,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Faro.pdf,Faro.pdf,pdf,False
2017,Guarda,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Guarda.pdf,Guarda.pdf,pdf,False
2017,Leiria,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Leiria.pdf,Leiria.pdf,pdf,False
2017,Lisboa,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Lisboa.pdf,Lisboa.pdf,pdf,False
2017,Portalegre,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Portalegre.pdf,Portalegre.pdf,pdf,False
2017,Porto,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Porto.pdf,Porto.pdf,pdf,False
2017,Santarém,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Santarém.pdf,Santarém.pdf,pdf,False
2017,Setúbal,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Setúbal.pdf,Setúbal.pdf,pdf,False
2017,Viana do Castelo,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Viana do Castelo.pdf,Viana do Castelo.pdf,pdf,False
2017,Vila Real,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Vila Real.pdf,Vila Real.pdf,pdf,False
2017,Viseu,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Viseu.pdf,Viseu.pdf,pdf,False
2017,Relatório Anual Sinistralidade Rodoviária 30 dias,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2017/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Relatório Anual Sinistralidade Rodoviária 30dias.pdf,Relatório Anual Sinistralidade Rodoviária 30dias.pdf,pdf,False
2016,Aveiro,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2016/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Aveiro 2016.pdf,Aveiro 2016.pdf,pdf,False
2016,Beja,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2016/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Beja 2016.pdf,Beja 2016.pdf,pdf,False
2016,Braga,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2016/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Braga 2016.pdf,Braga 2016.pdf,pdf,False
2016,Bragança,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2016/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Bragança 2016.pdf,Bragança 2016.pdf,pdf,False
2016,Castelo Branco,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2016/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Castelo Branco 2016.pdf,Castelo Branco 2016.pdf,pdf,False
