distrito,ano,concelho,acidentes_com_vitimas,vitimas_mortais,feridos_graves,feridos_leves,total_vitimas,indice_gravidade,source_file
Braga,2004,V. N. Famalicão,460,10,26,610,646,2.2,Braga 2004.pdf
Braga,2004,Vila Verde,185,8,15,257,280,4.3,Braga 2004.pdf
Braga,2004,Vizela,60,0,13,61,74,0.0,Braga 2004.pdf
Bragança,2004,Alfandega da Fé,9,0,2,8,10,0.0,Bragança 2004.pdf
Bragança,2004,Bragança,113,2,22,128,152,1.8,Bragança 2004.pdf
Bragança,2004,Carrazeda de Ansiães,21,1,1,26,28,4.8,Bragança 2004.pdf
Bragança,2004,Freixo Espada à Cinta,7,0,0,10,10,0.0,Bragança 2004.pdf
Bragança,2004,Macedo de Cavaleiros,56,2,5,71,78,3.6,Bragança 2004.pdf
Bragança,2004,Miranda do Douro,12,1,1,12,14,8.3,Bragança 2004.pdf
Bragança,2004,Mirandela,55,7,2,90,99,12.7,Bragança 2004.pdf
Bragança,2004,Mogadouro,38,0,3,46,49,0.0,Bragança 2004.pdf
Bragança,2004,Torre de Moncorvo,29,2,11,42,55,6.9,Bragança 2004.pdf
Bragança,2004,Vila Flor,29,2,4,39,45,6.9,Bragança 2004.pdf
Bragança,2004,Vimioso,16,3,3,20,26,18.8,Bragança 2004.pdf
Bragança,2004,Vinhais,26,1,5,34,40,3.8,Bragança 2004.pdf
Castelo Branco,2004,Belmonte,24,2,1,29,32,8.3,Castelo Branco 2004.pdf
Castelo Branco,2004,Castelo Branco,210,12,35,235,282,5.7,Castelo Branco 2004.pdf
Castelo Branco,2004,Covilhã,144,4,9,168,181,2.8,Castelo Branco 2004.pdf
Castelo Branco,2004,Fundão,85,3,18,102,123,3.5,Castelo Branco 2004.pdf
Castelo Branco,2004,Idanha-a-Nova,47,0,9,55,64,0.0,Castelo Branco 2004.pdf
Castelo Branco,2004,Oleiros,22,1,3,33,37,4.5,Castelo Branco 2004.pdf
Castelo Branco,2004,Penamacor,21,1,3,22,26,4.8,Castelo Branco 2004.pdf
Castelo Branco,2004,Proença-a-Nova,30,2,5,32,39,6.7,Castelo Branco 2004.pdf
Castelo Branco,2004,Sertã,60,3,18,65,86,5.0,Castelo Branco 2004.pdf
Castelo Branco,2004,Vila de Rei,14,1,3,13,17,7.1,Castelo Branco 2004.pdf
Castelo Branco,2004,Vila Velha de Rodão,28,2,2,38,42,7.1,Castelo Branco 2004.pdf
Coimbra,2004,Arganil,40,1,1,44,46,2.5,Coimbra 2004.pdf
Coimbra,2004,Cantanhede,239,6,16,290,312,2.5,Coimbra 2004.pdf
Coimbra,2004,Coimbra,719,16,27,895,938,2.2,Coimbra 2004.pdf
Coimbra,2004,Condeixa-a-Nova,102,1,8,137,146,1.0,Coimbra 2004.pdf
Coimbra,2004,Figueira da Foz,330,12,35,416,463,3.6,Coimbra 2004.pdf
Coimbra,2004,Góis,11,0,7,13,20,0.0,Coimbra 2004.pdf
Coimbra,2004,Lousã,89,2,8,90,100,2.2,Coimbra 2004.pdf
Coimbra,2004,Mira,67,2,8,75,85,3.0,Coimbra 2004.pdf
Coimbra,2004,Miranda do Corvo,57,2,1,68,71,3.5,Coimbra 2004.pdf
Coimbra,2004,Montemor-o-Velho,145,2,7,162,171,1.4,Coimbra 2004.pdf
Coimbra,2004,Oliveira do Hospital,92,5,5,108,118,5.4,Coimbra 2004.pdf
Coimbra,2004,Pampilhosa da Serra,7,0,0,8,8,0.0,Coimbra 2004.pdf
Coimbra,2004,Penacova,105,7,11,136,154,6.7,Coimbra 2004.pdf
Coimbra,2004,Penela,51,4,7,72,83,7.8,Coimbra 2004.pdf
Coimbra,2004,Soure,100,8,6,129,143,8.0,Coimbra 2004.pdf
Coimbra,2004,Tábua,78,2,10,85,97,2.6,Coimbra 2004.pdf
Coimbra,2004,Vila Nova de Poiares,49,4,5,62,71,8.2,Coimbra 2004.pdf
Faro,2004,Albufeira,309,9,36,357,402,2.9,Faro 2004.pdf
Faro,2004,Alcoutim,15,0,6,20,26,0.0,Faro 2004.pdf
Faro,2004,Aljezur,42,4,6,48,58,9.5,Faro 2004.pdf
Faro,2004,Castro Marim,43,1,4,51,56,2.3,Faro 2004.pdf
Faro,2004,Faro,334,9,33,375,417,2.7,Faro 2004.pdf
Faro,2004,Lagoa,117,3,9,157,169,2.6,Faro 2004.pdf
Faro,2004,Lagos,125,4,21,140,165,3.2,Faro 2004.pdf
Faro,2004,Loulé,409,17,53,436,506,4.2,Faro 2004.pdf
Faro,2004,Monchique,32,3,3,34,40,9.4,Faro 2004.pdf
Faro,2004,Olhão,198,4,13,229,246,2.0,Faro 2004.pdf
Faro,2004,Portimão,279,3,20,332,355,1.1,Faro 2004.pdf
Faro,2004,S. Brás Alportel,39,2,0,40,42,5.1,Faro 2004.pdf
Faro,2004,Silves,246,9,26,316,351,3.7,Faro 2004.pdf
Faro,2004,Tavira,129,4,23,144,171,3.1,Faro 2004.pdf
Faro,2004,V. do Bispo,35,1,3,42,46,2.9,Faro 2004.pdf
Faro,2004,V. Real de Santo Antonio,70,2,7,73,82,2.9,Faro 2004.pdf
Guarda,2004,Aguiar da Beira,10,0,0,13,13,0.0,Guarda 2004.pdf
Guarda,2004,Almeida,26,4,8,23,35,15.4,Guarda 2004.pdf
Guarda,2004,Celorico da Beira,37,5,8,41,54,13.5,Guarda 2004.pdf
Guarda,2004,Figueira Castelo Rodrigo,18,4,3,22,29,22.2,Guarda 2004.pdf
Guarda,2004,Fornos Algodres,25,0,3,36,39,0.0,Guarda 2004.pdf
Guarda,2004,Gouveia,57,3,18,62,83,5.3,Guarda 2004.pdf
Guarda,2004,Guarda,155,5,15,196,216,3.2,Guarda 2004.pdf
Guarda,2004,Manteigas,5,0,0,6,6,0.0,Guarda 2004.pdf
Guarda,2004,Meda,21,1,2,30,33,4.8,Guarda 2004.pdf
Guarda,2004,Pinhel,43,4,9,45,58,9.3,Guarda 2004.pdf
Guarda,2004,Sabugal,53,8,8,55,71,15.1,Guarda 2004.pdf
Guarda,2004,Seia,96,0,9,134,143,0.0,Guarda 2004.pdf
Guarda,2004,Trancoso,49,2,2,64,68,4.1,Guarda 2004.pdf
Guarda,2004,V. N. Foz Côa,18,2,0,25,27,11.1,Guarda 2004.pdf
Leiria,2004,Alcobaça,354,12,45,440,497,3.4,Leiria 2004.pdf
Leiria,2004,Alvaiázere,53,3,10,62,75,5.7,Leiria 2004.pdf
Leiria,2004,Ansião,55,2,10,74,86,3.6,Leiria 2004.pdf
Leiria,2004,Batalha,88,6,8,107,121,6.8,Leiria 2004.pdf
Leiria,2004,Bombarral,92,4,8,114,126,4.3,Leiria 2004.pdf
Leiria,2004,Rainha,241,5,28,270,303,2.1,Leiria 2004.pdf
Leiria,2004,Pêra,13,0,2,15,17,0.0,Leiria 2004.pdf
Leiria,2004,Vinhos,26,0,0,28,28,0.0,Leiria 2004.pdf
Leiria,2004,Leiria,787,19,56,922,997,2.4,Leiria 2004.pdf
Leiria,2004,Marinha Grande,204,6,14,249,269,2.9,Leiria 2004.pdf
Leiria,2004,Nazaré,80,1,6,102,109,1.3,Leiria 2004.pdf
Leiria,2004,Óbidos,89,3,12,127,142,3.4,Leiria 2004.pdf
Leiria,2004,Grande,23,0,1,26,27,0.0,Leiria 2004.pdf
Leiria,2004,Peniche,118,4,17,132,153,3.4,Leiria 2004.pdf
Leiria,2004,Pombal,391,27,40,487,554,6.9,Leiria 2004.pdf
Leiria,2004,Porto de Mós,133,8,12,163,183,6.0,Leiria 2004.pdf
Lisboa,2004,Alenquer,153,5,9,205,219,3.3,Lisboa 2004.pdf
Lisboa,2004,Amadora,330,3,23,376,402,0.9,Lisboa 2004.pdf
Lisboa,2004,Vinhos,39,0,1,53,54,0.0,Lisboa 2004.pdf
Lisboa,2004,Azambuja,132,10,18,176,204,7.6,Lisboa 2004.pdf
Lisboa,2004,Cadaval,70,3,7,80,90,4.3,Lisboa 2004.pdf
Lisboa,2004,Cascais,582,10,57,698,765,1.7,Lisboa 2004.pdf
Lisboa,2004,Lisboa,2621,30,366,2894,3290,1.1,Lisboa 2004.pdf
Lisboa,2004,Loures,608,16,85,774,875,2.6,Lisboa 2004.pdf
Lisboa,2004,Lourinhã,93,1,4,122,127,1.1,Lisboa 2004.pdf
Lisboa,2004,Mafra,308,6,23,383,412,1.9,Lisboa 2004.pdf
Lisboa,2004,Odivelas,315,2,25,388,415,0.6,Lisboa 2004.pdf
Lisboa,2004,Oeiras,589,9,40,684,733,1.5,Lisboa 2004.pdf
Lisboa,2004,Sintra,992,8,81,1238,1327,0.8,Lisboa 2004.pdf
Lisboa,2004,Agraço,47,3,5,63,71,6.4,Lisboa 2004.pdf
Lisboa,2004,Torres Vedras,296,7,39,385,431,2.4,Lisboa 2004.pdf
Lisboa,2004,Xira,430,13,38,546,597,3.0,Lisboa 2004.pdf
Portalegre,2004,Alter do Chão,16,0,2,17,19,0.0,Portalegre 2004.pdf
Portalegre,2004,Arronches,13,0,2,19,21,0.0,Portalegre 2004.pdf
Portalegre,2004,Avis,25,0,6,23,29,0.0,Portalegre 2004.pdf
Portalegre,2004,Campo Maior,28,1,7,28,36,3.6,Portalegre 2004.pdf
Portalegre,2004,Castelo de Vide,12,0,1,15,16,0.0,Portalegre 2004.pdf
Portalegre,2004,Crato,14,0,1,18,19,0.0,Portalegre 2004.pdf
Portalegre,2004,Elvas,109,1,24,121,146,0.9,Portalegre 2004.pdf
Portalegre,2004,Fronteira,16,0,2,17,19,0.0,Portalegre 2004.pdf
Portalegre,2004,Gavião,13,0,3,16,19,0.0,Portalegre 2004.pdf
Portalegre,2004,Marvão,13,2,0,16,18,15.4,Portalegre 2004.pdf
Portalegre,2004,Monforte,10,2,2,15,19,20.0,Portalegre 2004.pdf
Portalegre,2004,Nisa,26,0,3,33,36,0.0,Portalegre 2004.pdf
Portalegre,2004,Ponte de Sôr,79,11,14,96,121,13.9,Portalegre 2004.pdf
Portalegre,2004,Portalegre,64,1,12,77,90,1.6,Portalegre 2004.pdf
Portalegre,2004,Sousel,12,1,5,9,15,8.3,Portalegre 2004.pdf
Porto,2004,Amarante,264,24,45,353,422,9.1,Porto 2004.pdf
Porto,2004,Baião,49,1,8,72,81,2.0,Porto 2004.pdf
Porto,2004,Felgueiras,210,11,11,270,292,5.2,Porto 2004.pdf
Porto,2004,Gondomar,380,3,32,471,506,0.8,Porto 2004.pdf
Porto,2004,Lousada,152,5,21,211,237,3.3,Porto 2004.pdf
Porto,2004,Maia,424,7,23,527,557,1.7,Porto 2004.pdf
Porto,2004,Canaveses,140,3,12,189,204,2.1,Porto 2004.pdf
Porto,2004,Matosinhos,484,4,38,580,622,0.8,Porto 2004.pdf
Porto,2004,Ferreira,194,2,18,253,273,1.0,Porto 2004.pdf
Porto,2004,Paredes,254,6,32,323,361,2.4,Porto 2004.pdf
Porto,2004,Penafiel,253,16,24,335,375,6.3,Porto 2004.pdf
Porto,2004,Porto,912,13,40,1088,1141,1.4,Porto 2004.pdf
Porto,2004,Varzim,246,7,22,326,355,2.8,Porto 2004.pdf
Porto,2004,Santo Tirso,242,6,47,308,361,2.5,Porto 2004.pdf
Porto,2004,Trofa,141,1,9,200,210,0.7,Porto 2004.pdf
Porto,2004,Valongo,262,9,29,329,367,3.4,Porto 2004.pdf
Porto,2004,Vila do Conde,322,7,24,413,444,2.2,Porto 2004.pdf
Porto,2004,Gaia,751,21,46,922,989,2.8,Porto 2004.pdf
Santarém,2004,Abrantes,167,8,30,183,221,4.8,Santarém 2004.pdf
Santarém,2004,Alcanena,79,2,12,98,112,2.5,Santarém 2004.pdf
Santarém,2004,Almeirim,139,4,19,160,183,2.9,Santarém 2004.pdf
Santarém,2004,Alpiarça,37,0,1,46,47,0.0,Santarém 2004.pdf
Santarém,2004,Benavente,153,8,18,224,250,5.2,Santarém 2004.pdf
Santarém,2004,Cartaxo,115,7,12,140,159,6.1,Santarém 2004.pdf
Santarém,2004,Chamusca,71,2,11,90,103,2.8,Santarém 2004.pdf
Santarém,2004,Constância,18,0,4,23,27,0.0,Santarém 2004.pdf
Santarém,2004,Coruche,116,9,26,138,173,7.8,Santarém 2004.pdf
Santarém,2004,Entroncamento,52,2,2,61,65,3.8,Santarém 2004.pdf
Santarém,2004,Zêzere,64,1,16,85,102,1.6,Santarém 2004.pdf
Santarém,2004,Golegã,33,1,2,37,40,3.0,Santarém 2004.pdf
Santarém,2004,Mação,24,1,1,32,34,4.2,Santarém 2004.pdf
Santarém,2004,Ourém,333,11,81,358,450,3.3,Santarém 2004.pdf
Santarém,2004,Rio Maior,134,3,33,152,188,2.2,Santarém 2004.pdf
Santarém,2004,Magos,109,6,26,116,148,5.5,Santarém 2004.pdf
Santarém,2004,Santarém,366,11,58,462,531,3.0,Santarém 2004.pdf
Santarém,2004,Sardoal,22,2,4,24,30,9.1,Santarém 2004.pdf
Santarém,2004,Tomar,244,5,37,299,341,2.0,Santarém 2004.pdf
Santarém,2004,Torres Novas,172,4,28,192,224,2.3,Santarém 2004.pdf
Santarém,2004,Barquinha,52,4,10,59,73,7.7,Santarém 2004.pdf
Setúbal,2004,Alcácer do Sal,124,13,29,178,220,10.5,Setúbal 2004.pdf
Setúbal,2004,Alcochete,59,3,5,75,83,5.1,Setúbal 2004.pdf
Setúbal,2004,Almada,423,9,34,508,551,2.1,Setúbal 2004.pdf
Setúbal,2004,Barreiro,261,5,22,355,382,1.9,Setúbal 2004.pdf
Setúbal,2004,Grândola,101,10,40,125,175,9.9,Setúbal 2004.pdf
Setúbal,2004,Moita,175,0,29,218,247,0.0,Setúbal 2004.pdf
Setúbal,2004,Montijo,206,9,22,270,301,4.4,Setúbal 2004.pdf
Setúbal,2004,Palmela,371,19,51,474,544,5.1,Setúbal 2004.pdf
Setúbal,2004,Cacém,117,7,23,155,185,6.0,Setúbal 2004.pdf
Setúbal,2004,Seixal,435,5,32,549,586,1.1,Setúbal 2004.pdf
Setúbal,2004,Sesimbra,124,7,12,158,177,5.6,Setúbal 2004.pdf
Setúbal,2004,Setúbal,500,7,37,631,675,1.4,Setúbal 2004.pdf
Setúbal,2004,Sines,50,2,5,63,70,4.0,Setúbal 2004.pdf
Viana do Castelo,2004,Valdevez,65,3,9,77,89,4.6,Viana do Castelo 2004.pdf
Viana do Castelo,2004,Caminha,64,4,1,78,83,6.3,Viana do Castelo 2004.pdf
Viana do Castelo,2004,Melgaço,9,3,3,13,19,33.3,Viana do Castelo 2004.pdf
Viana do Castelo,2004,Monção,50,3,1,58,62,6.0,Viana do Castelo 2004.pdf
Viana do Castelo,2004,Coura,15,0,0,18,18,0.0,Viana do Castelo 2004.pdf
Viana do Castelo,2004,Ponte da Barca,33,3,2,50,55,9.1,Viana do Castelo 2004.pdf
Viana do Castelo,2004,Ponte de Lima,178,0,9,242,251,0.0,Viana do Castelo 2004.pdf
Viana do Castelo,2004,Valença,81,4,7,100,111,4.9,Viana do Castelo 2004.pdf
Viana do Castelo,2004,Castelo,321,11,19,439,469,3.4,Viana do Castelo 2004.pdf
Viana do Castelo,2004,Cerveira,44,1,4,56,61,2.3,Viana do Castelo 2004.pdf
Vila Real,2004,Alijó,42,2,3,49,54,4.8,Vila Real 2004.pdf
Vila Real,2004,Boticas,11,0,0,17,17,0.0,Vila Real 2004.pdf
Vila Real,2004,Chaves,172,5,35,210,250,2.9,Vila Real 2004.pdf
Vila Real,2004,Mesão Frio,17,0,4,27,31,0.0,Vila Real 2004.pdf
Vila Real,2004,Basto,14,0,4,17,21,0.0,Vila Real 2004.pdf
Vila Real,2004,Montalegre,31,1,5,41,47,3.2,Vila Real 2004.pdf
Vila Real,2004,Murça,23,3,4,29,36,13.0,Vila Real 2004.pdf
Vila Real,2004,Peso da Régua,40,0,1,54,55,0.0,Vila Real 2004.pdf
Vila Real,2004,Ribeira de Pena,12,0,1,17,18,0.0,Vila Real 2004.pdf
Vila Real,2004,Sabrosa,13,1,1,17,19,7.7,Vila Real 2004.pdf
Vila Real,2004,Penaguião,19,0,0,30,30,0.0,Vila Real 2004.pdf
Vila Real,2004,Valpaços,41,0,2,52,54,0.0,Vila Real 2004.pdf
Vila Real,2004,Aguiar,53,3,3,66,72,5.7,Vila Real 2004.pdf
Vila Real,2004,Vila Real,229,11,28,279,318,4.8,Vila Real 2004.pdf
Viseu,2004,Armamar,14,3,6,19,28,21.4,Viseu 2004.pdf
Viseu,2004,Carregal do Sal,49,0,2,59,61,0.0,Viseu 2004.pdf
Viseu,2004,Castro Daire,40,2,3,45,50,5.0,Viseu 2004.pdf
Viseu,2004,Cinfães,43,1,3,52,56,2.3,Viseu 2004.pdf
Viseu,2004,Lamego,64,3,5,100,108,4.7,Viseu 2004.pdf
Viseu,2004,Mangualde,99,7,12,119,138,7.1,Viseu 2004.pdf
Viseu,2004,Beira,38,1,3,50,54,2.6,Viseu 2004.pdf
Viseu,2004,Mortágua,42,2,3,53,58,4.8,Viseu 2004.pdf
Viseu,2004,Nelas,66,2,4,112,118,3.0,Viseu 2004.pdf
Viseu,2004,Frades,64,1,7,76,84,1.6,Viseu 2004.pdf
Viseu,2004,Castelo,21,0,3,22,25,0.0,Viseu 2004.pdf
Viseu,2004,Penedono,8,0,0,12,12,0.0,Viseu 2004.pdf
Viseu,2004,Resende,18,0,5,19,24,0.0,Viseu 2004.pdf
Viseu,2004,Dão,66,8,6,99,113,12.1,Viseu 2004.pdf
Viseu,2004,Pesqueira,22,1,2,29,32,4.5,Viseu 2004.pdf
Viseu,2004,Sul,72,1,5,96,102,1.4,Viseu 2004.pdf
Viseu,2004,Sátão,67,1,10,86,97,1.5,Viseu 2004.pdf
Viseu,2004,Sernancelhe,28,1,3,39,43,3.6,Viseu 2004.pdf
Viseu,2004,Tabuaço,14,0,1,15,16,0.0,Viseu 2004.pdf
Viseu,2004,Tarouca,29,0,6,36,42,0.0,Viseu 2004.pdf
Viseu,2004,Tondela,151,2,15,177,194,1.3,Viseu 2004.pdf
Viseu,2004,Paiva,19,0,1,29,30,0.0,Viseu 2004.pdf
Viseu,2004,Viseu,490,13,40,644,697,2.7,Viseu 2004.pdf
Viseu,2004,Vouzela,89,3,12,125,140,3.4,Viseu 2004.pdf
Évora,2004,Alandroal,24,1,9,24,34,4.2,Évora.pdf
Évora,2004,Arraiolos,30,2,5,38,45,6.7,Évora.pdf
Évora,2004,Borba,26,0,1,33,34,0.0,Évora.pdf
Évora,2004,Estremoz,88,2,14,118,134,2.3,Évora.pdf
Évora,2004,Evora,236,10,38,272,320,4.2,Évora.pdf
Évora,2004,Montemor-o-Novo,108,1,17,129,147,0.9,Évora.pdf
Évora,2004,Mora,24,0,3,35,38,0.0,Évora.pdf
Évora,2004,Mourao,8,1,2,9,12,12.5,Évora.pdf
Évora,2004,Portel,19,0,7,21,28,0.0,Évora.pdf
Évora,2004,Redondo,25,0,9,28,37,0.0,Évora.pdf
Évora,2004,Reguengos de Monsaraz,35,2,6,52,60,5.7,Évora.pdf
Évora,2004,Vendas Novas,70,1,15,79,95,1.4,Évora.pdf
Évora,2004,Viana do Alentejo,13,0,5,13,18,0.0,Évora.pdf
Évora,2004,Vila Vicosa,27,1,5,34,40,3.7,Évora.pdf
Aveiro,2005,Águeda,250,6,31,281,318,2.4,Aveiro 2005.pdf
Aveiro,2005,Alberg.-a-Velha,189,7,16,291,314,3.7,Aveiro 2005.pdf
Aveiro,2005,Anadia,182,9,19,224,252,4.9,Aveiro 2005.pdf
Aveiro,2005,Arouca,73,2,2,89,93,2.7,Aveiro 2005.pdf
Aveiro,2005,Aveiro,397,5,33,450,488,1.3,Aveiro 2005.pdf
Aveiro,2005,Castelo Paiva,62,1,2,84,87,1.6,Aveiro 2005.pdf
Aveiro,2005,Espinho,99,0,2,125,127,0.0,Aveiro 2005.pdf
Aveiro,2005,Estarreja,142,0,17,156,173,0.0,Aveiro 2005.pdf
Aveiro,2005,Ílhavo,168,2,14,202,218,1.2,Aveiro 2005.pdf
Aveiro,2005,Mealhada,130,2,5,167,174,1.5,Aveiro 2005.pdf
Aveiro,2005,Murtosa,47,0,4,55,59,0.0,Aveiro 2005.pdf
Aveiro,2005,Oliv. Azeméis,211,7,22,247,276,3.3,Aveiro 2005.pdf
Aveiro,2005,Oliveira Bairro,174,3,15,219,237,1.7,Aveiro 2005.pdf
Aveiro,2005,Ovar,187,2,25,227,254,1.1,Aveiro 2005.pdf
Aveiro,2005,Sta Mª da Feira,510,11,39,636,686,2.2,Aveiro 2005.pdf
Aveiro,2005,S. João Madeira,77,1,16,74,91,1.3,Aveiro 2005.pdf
Aveiro,2005,Sever do Vouga,53,6,6,64,76,11.3,Aveiro 2005.pdf
Aveiro,2005,Vagos,135,1,1,171,173,0.7,Aveiro 2005.pdf
Aveiro,2005,Vale de Cambra,52,2,1,64,67,3.8,Aveiro 2005.pdf
Beja,2005,Aljustrel,42,3,9,57,69,7.1,Beja 2005.pdf
Beja,2005,Almodôvar,48,1,7,64,72,2.1,Beja 2005.pdf
Beja,2005,Alvito,8,0,2,9,11,0.0,Beja 2005.pdf
Beja,2005,Barrancos,2,0,1,2,3,0.0,Beja 2005.pdf
Beja,2005,Beja,118,2,13,149,164,1.7,Beja 2005.pdf
Beja,2005,Castro Verde,41,4,3,53,60,9.8,Beja 2005.pdf
Beja,2005,Cuba,9,0,3,13,16,0.0,Beja 2005.pdf
Beja,2005,Ferreira do Alentejo,42,1,13,46,60,2.4,Beja 2005.pdf
Beja,2005,Mértola,24,1,3,29,33,4.2,Beja 2005.pdf
Beja,2005,Moura,28,1,5,36,42,3.6,Beja 2005.pdf
Beja,2005,Odemira,123,13,15,138,166,10.6,Beja 2005.pdf
Beja,2005,Ourique,59,7,8,74,89,11.9,Beja 2005.pdf
Beja,2005,Serpa,43,4,6,52,62,9.3,Beja 2005.pdf
Beja,2005,Vidigueira,24,1,1,29,31,4.2,Beja 2005.pdf
Braga,2005,Amares,78,2,9,108,119,2.6,Braga 2005.pdf
Braga,2005,Barcelos,372,19,37,513,569,5.1,Braga 2005.pdf
Braga,2005,Braga,515,8,40,666,714,1.6,Braga 2005.pdf
Braga,2005,Cab. de Basto,48,1,5,52,58,2.1,Braga 2005.pdf
Braga,2005,Celor. de Basto,60,2,6,86,94,3.3,Braga 2005.pdf
Braga,2005,Esposende,165,3,13,202,218,1.8,Braga 2005.pdf
Braga,2005,Fafe,178,2,8,257,267,1.1,Braga 2005.pdf
Braga,2005,Guimarães,507,13,57,659,729,2.6,Braga 2005.pdf
Braga,2005,P. de Lanhoso,103,9,11,141,161,8.7,Braga 2005.pdf
Braga,2005,Terras de Bouro,27,1,0,34,35,3.7,Braga 2005.pdf
Braga,2005,Vieira do Minho,52,2,1,68,71,3.8,Braga 2005.pdf
Braga,2005,V.N.de Famalicão,421,11,43,559,613,2.6,Braga 2005.pdf
Braga,2005,Vila Verde,177,4,11,261,276,2.3,Braga 2005.pdf
Braga,2005,Vizela,69,0,11,76,87,0.0,Braga 2005.pdf
Bragança,2005,Alfandega da Fé,14,1,2,15,18,7.1,Bragança 2005.pdf
Bragança,2005,Bragança,124,8,31,138,177,6.5,Bragança 2005.pdf
Bragança,2005,Carrazeda de Ansiães,15,1,2,15,18,6.7,Bragança 2005.pdf
Bragança,2005,Freixo Espada à Cinta,10,2,4,11,17,20.0,Bragança 2005.pdf
Bragança,2005,M. de Cavaleiros,58,5,6,81,92,8.6,Bragança 2005.pdf
Bragança,2005,Miranda Douro,16,2,4,17,23,12.5,Bragança 2005.pdf
Bragança,2005,Mirandela,75,4,10,96,110,5.3,Bragança 2005.pdf
Bragança,2005,Mogadouro,45,0,5,73,78,0.0,Bragança 2005.pdf
Bragança,2005,T. de Moncorvo,25,0,5,26,31,0.0,Bragança 2005.pdf
Bragança,2005,Vila Flor,23,1,4,26,31,4.3,Bragança 2005.pdf
Bragança,2005,Vimioso,19,3,9,20,32,15.8,Bragança 2005.pdf
Bragança,2005,Vinhais,23,1,6,20,27,4.3,Bragança 2005.pdf
Castelo Branco,2005,Belmonte,24,0,4,25,29,0.0,Castelo Branco 2005.pdf
