Quadro 2.2 Veículos intervenientes em acidentes com vítimas em Portugal por categoria e idade do veículo,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Categoria e idade do veículo ,≤ 4 anos ,,,5 a 9 anos ,,,10 a 14 anos ,,,15 a 19 anos ,,,20 a 24 anos,,,> 25 anos,,,n.d.,,,Total ,,
Veículo pesado ,0.18153846153846165,0.23384615384615381,0.04427083333333326,-0.049707602339181256,0.01754385964912286,0.0707692307692307,-0.33096926713947994,-0.3049645390070922,0.03886925795053009,-0.18944099378881984,-0.07763975155279501,0.13793103448275867,-0.00591715976331364,-0.2248520710059172,-0.22023809523809523,0.1351351351351351,0.44594594594594605,0.2738095238095237,-0.7083333333333333,-0.41666666666666663,1,-0.09946396664681356,-0.051816557474687275,0.05291005291005302
Ciclomotor,-0.3125,-0.42025862068965514,-0.15673981191222575,-0.17684887459807075,-0.07395498392282962,0.125,-0.5590433482810164,-0.70254110612855,-0.3254237288135593,0.224390243902439,0.3853658536585365,0.13147410358565748,-0.3238434163701067,-0.3665480427046264,-0.06315789473684208,0.041144901610017826,0.184257602862254,0.13745704467353947,-0.6470588235294117,-0.7058823529411764,-0.16666666666666663,-0.24221867517956908,-0.24780526735833996,-0.007372301211163723
Motociclo cilindrada <= 125cc ,0.047642197374817785,0.12153621779290225,0.07053364269141538,0.06358381502890165,0.2782824112303881,0.20186335403726718,0.42799999999999994,0.6679999999999999,0.16806722689075637,0.02183406113537112,0.1746724890829694,0.14957264957264949,-0.15517241379310343,-0.2025862068965517,-0.056122448979591844,0.3058252427184467,0.7572815533980584,0.3457249070631969,-0.25,-0.0625,0.25,0.09368681195237016,0.24017074814648387,0.133935907970419
Motociclo cilindrada > 125cc ,0.08540218470705074,0.3505461767626614,0.24428179322964327,0.33086419753086416,0.7061728395061728,0.2820037105751392,-0.2815734989648033,-0.28364389233954457,-0.0028818443804035088,0.02330508474576276,0.125,0.0993788819875776,0.088095238095238,0.27142857142857135,0.16849015317286642,0.2666666666666666,0.5824561403508772,0.2493074792243768,-0.5333333333333333,-0.4,0.2857142857142858,0.0647878198898606,0.27048914804016855,0.193185275327046
Velocípede,0.8212560386473431,1.1739130434782608,0.19363395225464197,-0.1228070175438597,-0.21052631578947367,-0.09999999999999998,1.0909090909090908,1.3636363636363638,0.13043478260869557,-0.7857142857142857,-0.7857142857142857,0,4.666666666666667,2,-0.47058823529411764,0.3999999999999999,-0.19999999999999996,-0.4285714285714286,0.21696344892221187,0.3083411433926897,0.07508663842895658,0.2645002056766763,0.3693953105717811,0.08295380611580994
Quadriciclo ,-0.18181818181818177,-0.10909090909090913,0.0888888888888888,-0.37037037037037035,-0.31481481481481477,0.08823529411764697,-0.4375,-0.6666666666666667,-0.40740740740740744,0.17105263157894735,0.07894736842105265,-0.0786516853932584,1.8333333333333335,1.3333333333333335,-0.17647058823529416,-,-,0.8,-,-,0,-0.10374639769452454,-0.20172910662824206,-0.10932475884244375
Triciclo ,-0.5909090909090908,-0.5,0.22222222222222232,1.2999999999999998,0.30000000000000004,-0.4347826086956522,-0.25,0.375,0.8333333333333333,0.6666666666666667,-0.33333333333333337,-0.6,-1,0,-,1,0,-0.5,-1,0,-,-0.04255319148936165,-0.12765957446808507,-0.0888888888888889
Veículo agrícola ,-0.12727272727272732,0.23636363636363633,0.41666666666666674,-0.5,0.1499999999999999,1.2999999999999998,-0.050000000000000044,-0.25,-0.21052631578947367,-0.5142857142857142,-0.4285714285714286,0.17647058823529416,0,-0.31818181818181823,-0.31818181818181823,0.016666666666666607,-0.1166666666666667,-0.1311475409836066,-0.75,-0.75,0,-0.17592592592592593,-0.09722222222222221,0.09550561797752799
Outros* ,-0.41666666666666663,-0.375,0.0714285714285714,0.125,-0.25,-0.33333333333333337,1,1,0,-1,0.33333333333333326,#DIV/0!,0.33333333333333326,0,-0.25,1,1,0,0.03971119133573997,0.25270758122743686,0.20486111111111116,-0.017492711370262426,0.16034985422740533,0.18100890207715126
Total ,-0.13635991149717286,-0.12496926985167578,0.013189107125913369,0.009167544783983184,0.1669125395152793,0.15631199749399594,-0.25154348209560773,-0.264067736814253,-0.01673344331840676,-0.2116794769855994,-0.16626910504461523,0.0576039448615937,-0.011190233977619535,0.03277947326777442,0.04446730681298572,0.3041304347826086,0.6497826086956522,0.2650441740290048,0.06285714285714294,0.1566386554621848,0.08823529411764697,-0.08783650365299811,-0.01763970249456992,0.07695638056066678
"*Inclui veículos de tração animal, veículos sobre carris, máquinas industriais e não definidos",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
